title,genre,runtime,votes,rating,revenue,director,actor,description
Lion,Biography,118,102061,8.1,51.69,Garth Davis,Dev Patel,A five-year-old Indian boy gets lost on the streets of Calcutta thousands of kilometers from home. He survives many challenges before being adopted by a couple in Australia. 25 years later he sets out to find his lost family.
Arrival,Drama,116,340798,8.0,100.50,Denis Villeneuve,Amy Adams,When twelve mysterious spacecraft appear around the world linguistics professor Louise Banks is tasked with interpreting the language of the apparent alien visitors.
Gold,Adventure,120,19053,6.7,7.22,Stephen Gaghan,Matthew McConaughey,Kenny Wells a prospector desperate for a lucky break teams up with a similarly eager geologist and sets off on a journey to find gold in the uncharted jungle of Indonesia.
Manchester by the Sea,Drama,137,134213,7.9,47.70,Kenneth Lonergan,Casey Affleck,A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.
Hounds of Love,Crime,108,1115,6.7,0.50,Ben Young,Emma Booth,A cold-blooded predatory couple while cruising the streets in search of their next victim will stumble upon a 17-year-old high school girl who will be sedated abducted and chained in the strangers' guest room.
Trolls,Animation,92,38552,6.5,153.69,Walt Dohrn,Anna Kendrick,After the Bergens invade Troll Village Poppy the happiest Troll ever born and the curmudgeonly Branch set off on a journey to rescue her friends.
Independence Day: Resurgence,Action,120,127553,5.3,103.14,Roland Emmerich,Liam Hemsworth,Two decades after the first Independence Day invasion Earth is faced with a new extra-Solar threat. But will mankind's new space defenses be enough?
Paris pieds nus,Comedy,83,222,6.8,0.50,Dominique Abel,Fiona Gordon,Fiona visits Paris for the first time to assist her myopic Aunt Martha. Catastrophes ensue
Bahubali: The Beginning,Action,159,76193,8.3,6.50,S.S. Rajamouli,Prabhas,In ancient India an adventurous and daring man becomes involved in a decades old feud between two warring people.
Dead Awake,Horror,99,523,4.7,0.01,Phillip Guzman,Jocelin Donahue,A young woman must save herself and her friends from an ancient evil that stalks its victims through the real-life phenomenon of sleep paralysis.
Bad Moms,Comedy,100,66540,6.2,113.08,Jon Lucas,Mila Kunis,When three overworked and under-appreciated moms are pushed beyond their limits
Assassin's Creed,Action,115,112813,5.9,54.65,Justin Kurzel,Michael Fassbender,When Callum Lynch explores the memories of his ancestor Aguilar and gains the skills of a Master Assassin he discovers he is a descendant of the secret Assassins society.
Why Him?,Comedy,111,48123,6.3,60.31,John Hamburg,Zoey Deutch,A holiday gathering threatens to go off the rails when Ned Fleming realizes that his daughter's Silicon Valley millionaire boyfriend is about to pop the question.
Nocturnal Animals,Drama,116,126030,7.5,10.64,Tom Ford,Amy Adams,A wealthy art gallery owner is haunted by her ex-husband's novel a violent thriller she interprets as a symbolic revenge tale.
X-Men: Apocalypse,Action,144,275510,7.1,155.33,Bryan Singer,James McAvoy,After the re-emergence of the world's first mutant world-destroyer Apocalypse the X-Men must unite to defeat his extinction level plan.
Deadpool,Action,108,627797,8.0,363.02,Tim Miller,Ryan Reynolds,A fast-talking mercenary with a morbid sense of humor is subjected to a rogue experiment that leaves him with accelerated healing powers and a quest for revenge.
Resident Evil: The Final Chapter,Action,107,46165,5.6,26.84,Paul W.S. Anderson,Milla Jovovich,Alice returns to where the nightmare began: The Hive in Raccoon City where the Umbrella Corporation is gathering its forces for a final strike against the only remaining survivors of the apocalypse.
Captain America: Civil War,Action,147,411656,7.9,408.08,Anthony Russo,Chris Evans,Political interference in the Avengers' activities causes a rift between former allies Captain America and Iron Man.
Interstellar,Adventure,169,1047747,8.6,187.99,Christopher Nolan,Matthew McConaughey,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
Doctor Strange,Action,115,293732,7.6,232.60,Scott Derrickson,Benedict Cumberbatch,While on a journey of physical and spiritual healing a brilliant neurosurgeon is drawn into the world of the mystic arts.
The Magnificent Seven,Action,132,122853,6.9,93.38,Antoine Fuqua,Denzel Washington,Seven gunmen in the old west gradually come together to help a poor village against savage thieves.
5- 25- 77,Comedy,113,241,7.1,0.50,Patrick Read Johnson,John Francis Daley,Alienated hopeful-filmmaker Pat Johnson's epic story growing up in rural Illinois falling in love and becoming the first fan of the movie that changed everything.
Sausage Party,Animation,89,120690,6.3,97.66,Greg Tiernan,Seth Rogen,A sausage strives to discover the truth about his existence.
Moonlight,Drama,111,135095,7.5,27.85,Barry Jenkins,Mahershala Ali,A chronicle of the childhood
Don't F--- in the Woods,Horror,73,496,2.7,0.50,Shawn Burkett,Brittany Blanton,A group of friends are going on a camping trip to celebrate graduating college. But once they enter the woods
The Founder,Biography,115,37033,7.2,12.79,John Lee Hancock,Michael Keaton,The story of Ray Kroc a salesman who turned two brothers' innovative fast food eatery McDonald's into one of the biggest restaurant businesses in the world with a combination of ambition persistence and ruthlessness.
Lowriders,Drama,99,279,6.3,4.21,Ricardo de Montreuil,Gabriel Chavarria,A young street artist in East Los Angeles is caught between his father's obsession with lowrider car culture
Pirates of the Caribbean: On Stranger Tides,Action,136,395025,6.7,241.06,Rob Marshall,Johnny Depp,Jack Sparrow and Barbossa embark on a quest to find the elusive fountain of youth only to discover that Blackbeard and his daughter are after it too.
Miss Sloane,Drama,132,17818,7.3,3.44,John Madden,Jessica Chastain,In the high-stakes world of political power-brokers Elizabeth Sloane is the most sought after and formidable lobbyist in D.C. But when taking on the most powerful opponent of her career she finds winning may come at too high a price.
Fallen,Adventure,91,5103,5.6,0.50,Scott Hicks,Hermione Corfield,A young girl finds herself in a reform school after therapy since she was blamed for the death of a young boy. At the school she finds herself drawn to a fellow student unaware that he is an angel and has loved her for thousands of years.
Star Trek Beyond,Action,122,164567,7.1,158.80,Justin Lin,Chris Pine,The USS Enterprise crew explores the furthest reaches of uncharted space where they encounter a new ruthless enemy who puts them and everything the Federation stands for to the test.
The Last Face,Drama,130,987,3.7,0.50,Sean Penn,Charlize Theron,A director (Charlize Theron) of an international aid agency in Africa meets a relief aid doctor (Javier Bardem) amidst a political/social revolution
Star Wars: Episode VII - The Force Awakens,Action,136,661608,8.1,936.63,J.J. Abrams,Daisy Ridley,Three decades after the defeat of the Galactic Empire a new threat arises. The First Order attempts to rule the galaxy and only a ragtag group of heroes can stop them along with the help of the Resistance.
Underworld: Blood Wars,Action,91,41362,5.8,30.35,Anna Foerster,Kate Beckinsale,Vampire death dealer Selene (Kate Beckinsale) fights to end the eternal war between the Lycan clan and the Vampire faction that betrayed her.
Mother's Day,Comedy,118,20221,5.6,32.46,Garry Marshall,Jennifer Aniston,Three generations come together in the week leading up to Mother's Day.
John Wick,Action,101,321933,7.2,43.00,Chad Stahelski,Keanu Reeves,An ex-hitman comes out of retirement to track down the gangsters that took everything from him.
The Dark Knight,Action,152,1791916,9.0,533.32,Christopher Nolan,Christian Bale,When the menace known as the Joker wreaks havoc and chaos on the people of Gotham the Dark Knight must come to terms with one of the greatest psychological tests of his ability to fight injustice.
Silence,Adventure,161,49190,7.3,7.08,Martin Scorsese,Andrew Garfield,In the 17th century two Portuguese Jesuit priests travel to Japan in an attempt to locate their mentor who is rumored to have committed apostasy and to propagate Catholicism.
Don't Breathe,Crime,88,121103,7.2,89.21,Fede Alvarez,Stephen Lang,Hoping to walk away with a massive fortune a trio of thieves break into the house of a blind man who isn't as helpless as he seems.
Me Before You,Drama,106,113322,7.4,56.23,Thea Sharrock,Emilia Clarke,A girl in a small town forms an unlikely bond with a recently-paralyzed man she's taking care of.
Their Finest,Comedy,117,3739,7.0,3.18,Lone Scherfig,Gemma Arterton,A former secretary newly appointed as a scriptwriter for propaganda films joins the cast and crew of a major production while the Blitz rages around them.
Sully,Biography,96,137608,7.5,125.07,Clint Eastwood,Tom Hanks,The story of Chesley Sullenberger an American pilot who became a hero after landing his damaged plane on the Hudson River in order to save the flight's passengers and crew.
Batman v Superman: Dawn of Justice,Action,151,472307,6.7,330.25,Zack Snyder,Ben Affleck,Fearing that the actions of Superman are left unchecked Batman takes on the Man of Steel while the world wrestles with what kind of a hero it really needs.
The Autopsy of Jane Doe,Horror,86,35870,6.8,0.50,André Øvredal,Brian Cox,A father and son both coroners are pulled into a complex mystery while attempting to identify the body of a young woman who was apparently harboring dark secrets.
The Girl on the Train,Crime,112,102177,6.5,75.31,Tate Taylor,Emily Blunt,A divorcee becomes entangled in a missing persons investigation that promises to send shockwaves throughout her life.
Fifty Shades of Grey,Drama,125,244474,4.1,166.15,Sam Taylor-Johnson,Dakota Johnson,Literature student Anastasia Steele's life changes forever when she meets handsome yet tormented billionaire Christian Grey.
The Prestige,Drama,130,913152,8.5,53.08,Christopher Nolan,Christian Bale,Two stage magicians engage in competitive one-upmanship in an attempt to create the ultimate stage illusion.
Kingsman: The Secret Service,Action,129,440209,7.7,128.25,Matthew Vaughn,Colin Firth,A spy organization recruits an unrefined but promising street kid into the agency's ultra-competitive training program just as a global threat emerges from a twisted tech genius.
Patriots Day,Drama,133,39784,7.4,31.86,Peter Berg,Mark Wahlberg,The story of the 2013 Boston Marathon bombing and the aftermath which includes the city-wide manhunt to find the terrorists responsible.
Mad Max: Fury Road,Action,120,632842,8.1,153.63,George Miller,Tom Hardy,A woman rebels against a tyrannical ruler in postapocalyptic Australia in search for her home-land with the help of a group of female prisoners a psychotic worshipper and a drifter named Max.
Wakefield,Drama,106,291,7.5,0.01,Robin Swicord,Bryan Cranston,A man's nervous breakdown causes him to leave his wife and live in his attic for several months.
Deepwater Horizon,Action,107,89849,7.2,61.28,Peter Berg,Mark Wahlberg,A dramatization of the April 2010 disaster when the offshore drilling rig Deepwater Horizon exploded and created the worst oil spill in U.S. history.
The Promise,Drama,133,149791,5.9,0.50,Terry George,Oscar Isaac,Set during the last days of the Ottoman Empire The Promise follows a love triangle between Michael a brilliant medical student the beautiful and sophisticated Ana and Chris - a renowned American journalist based in Paris.
Allied,Action,124,78079,7.1,40.07,Robert Zemeckis,Brad Pitt,In 1942 a Canadian intelligence officer in North Africa encounters a female French Resistance fighter on a deadly mission behind enemy lines. When they reunite in London their relationship is tested by the pressures of war.
A Monster Calls,Drama,108,39134,7.5,3.73,J.A. Bayona,Lewis MacDougall,A boy seeks the help of a tree monster to cope with his single mother's terminal illness.
Collateral Beauty,Drama,97,43977,6.8,30.98,David Frankel,Will Smith,Retreating from life after a tragedy a man questions the universe by writing to Love Time and Death. Receiving unexpected answers he begins to see how these things interlock and how even loss can reveal moments of meaning and beauty.
Zootopia,Animation,108,296853,8.1,341.26,Byron Howard,Ginnifer Goodwin,In a city of anthropomorphic animals a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.
Pirates of the Caribbean: At World's End,Action,169,498821,7.1,309.40,Gore Verbinski,Johnny Depp,Captain Barbossa Will Turner and Elizabeth Swann must sail off the edge of the map navigate treachery and betrayal find Jack Sparrow and make their final alliances for one last decisive battle.
The Avengers,Action,143,1045588,8.1,623.28,Joss Whedon,Robert Downey Jr.,Earth's mightiest heroes must come together and learn to fight as a team if they are to stop the mischievous Loki and his alien army from enslaving humanity.
Inglourious Basterds,Adventure,153,959065,8.3,120.52,Quentin Tarantino,Brad Pitt,In Nazi-occupied France during World War II a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.
Pirates of the Caribbean: Dead Man's Chest,Action,151,552027,7.3,423.03,Gore Verbinski,Johnny Depp,Jack Sparrow races to recover the heart of Davy Jones to avoid enslaving his soul to Jones' service as other friends and foes seek the heart for their own agenda as well.
Ghostbusters,Action,116,147717,5.3,128.34,Paul Feig,Melissa McCarthy,Following a ghost invasion of Manhattan paranormal enthusiasts Erin Gilbert and Abby Yates nuclear engineer Jillian Holtzmann and subway worker Patty Tolan band together to stop the otherworldly threat.
Inception,Action,148,1583625,8.8,292.57,Christopher Nolan,Leonardo DiCaprio,A thief who steals corporate secrets through use of dream-sharing technology is given the inverse task of planting an idea into the mind of a CEO.
Captain Fantastic,Comedy,118,105081,7.9,5.88,Matt Ross,Viggo Mortensen,In the forests of the Pacific Northwest a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world challenging his idea of what it means to be a parent.
The Wolf of Wall Street,Biography,180,865134,8.2,116.87,Martin Scorsese,Leonardo DiCaprio,Based on the true story of Jordan Belfort from his rise to a wealthy stock-broker living the high life to his fall involving crime corruption and the federal government.
Gone Girl,Crime,149,636243,8.1,167.74,David Fincher,Ben Affleck,With his wife's disappearance having become the focus of an intense media circus a man sees the spotlight turned on him when it's suspected that he may not be innocent.
Furious Seven,Action,137,301249,7.2,350.03,James Wan,Vin Diesel,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.
Jurassic World,Action,124,455169,7.0,652.18,Colin Trevorrow,Chris Pratt,A new theme park built on the original site of Jurassic Park creates a genetically modified hybrid dinosaur which escapes containment and goes on a killing spree.
Live by Night,Crime,129,27869,6.4,10.38,Ben Affleck,Ben Affleck,A group of Boston-bred gangsters set up shop in balmy Florida during the Prohibition era facing off against the competition and the Ku Klux Klan.
Avatar,Action,162,935408,7.8,760.51,James Cameron,Sam Worthington,A paraplegic marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.
The Hateful Eight,Crime,187,341170,7.8,54.12,Quentin Tarantino,Samuel L. Jackson,In the dead of a Wyoming winter a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters.
The Accountant,Action,128,162122,7.4,86.20,Gavin O'Connor,Ben Affleck,As a math savant uncooks the books for a new client the Treasury Department closes in on his activities and the body count starts to rise.
Prisoners,Crime,153,431185,8.1,60.96,Denis Villeneuve,Hugh Jackman,When Keller Dover's daughter and her friend go missing he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.
Warcraft,Action,123,187547,7.0,47.17,Duncan Jones,Travis Fimmel,As an Orc horde invades the planet Azeroth using a magic portal a few human heroes and dissenting Orcs must attempt to stop the true evil behind this war.
The Help,Drama,146,342429,8.1,169.71,Tate Taylor,Emma Stone,An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work
War Dogs,Comedy,114,106463,7.1,43.02,Todd Phillips,Jonah Hill,Based on the true story of two young men David Packouz and Efraim Diveroli who won a $300 million contract from the Pentagon to arm America's allies in Afghanistan.
Avengers: Age of Ultron,Action,141,516895,7.4,458.99,Joss Whedon,Robert Downey Jr.,When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan.
The Nice Guys,Action,116,175067,7.4,36.25,Shane Black,Russell Crowe,In 1970s Los Angeles a mismatched pair of private eyes investigate a missing girl and the mysterious death of a porn star.
Kimi no na wa,Animation,106,34110,8.6,4.68,Makoto Shinkai,Ryûnosuke Kamiki,Two strangers find themselves linked in a bizarre way. When a connection forms will distance be the only thing to keep them apart?
The Void,Horror,90,9247,5.8,0.15,Jeremy Gillespie,Aaron Poole,Shortly after delivering a patient to an understaffed hospital a police officer experiences strange and violent occurrences seemingly linked to a group of mysterious hooded figures.
Personal Shopper,Drama,105,10181,6.3,1.29,Olivier Assayas,Kristen Stewart,A personal shopper in Paris refuses to leave the city until she makes contact with her twin brother who previously died there. Her life becomes more complicated when a mysterious person contacts her via text message.
The Departed,Crime,151,937414,8.5,132.37,Martin Scorsese,Leonardo DiCaprio,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
Legend,Biography,132,108836,7.0,1.87,Brian Helgeland,Tom Hardy,Identical twin gangsters Ronald and Reginald Kray terrorize London during the 1960s.
Thor,Action,115,570814,7.0,181.02,Kenneth Branagh,Chris Hemsworth,The powerful but arrogant god Thor is cast out of Asgard to live amongst humans in Midgard (Earth) where he soon becomes one of their finest defenders.
The Martian,Adventure,144,556097,8.0,228.43,Ridley Scott,Matt Damon,An astronaut becomes stranded on Mars after his team assume him dead and must rely on his ingenuity to find a way to signal to Earth that he is alive.
Contratiempo,Crime,106,7204,7.9,0.50,Oriol Paulo,Mario Casas,A young businessman faces a lawyer trying to prove his innocence by the assassination of his lover.
The Man from U.N.C.L.E.,Action,116,202973,7.3,45.43,Guy Ritchie,Henry Cavill,In the early 1960s CIA agent Napoleon Solo and KGB operative Illya Kuryakin participate in a joint mission against a mysterious criminal organization which is working to proliferate nuclear weapons.
Hell or High Water,Crime,102,115546,7.7,26.86,David Mackenzie,Chris Pine,A divorced father and his ex-con older brother resort to a desperate scheme in order to save their family's ranch in West Texas.
The Comedian,Comedy,120,1954,5.4,1.66,Taylor Hackford,Robert De Niro,A look at the life of an aging insult comic named Jack Burke.
The Legend of Tarzan,Action,110,117590,6.3,126.59,David Yates,Alexander Skarsgård,Tarzan having acclimated to life in London is called back to his former home in the jungle to investigate the activities at a mining encampment.
All We Had,Drama,105,1004,5.8,0.50,Katie Holmes,Eve Lindley,A mother struggles to make a better life for her daughter.
Ex Machina,Drama,108,339797,7.7,25.44,Alex Garland,Alicia Vikander,A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a breath-taking humanoid A.I.
The Belko Experiment,Action,89,3712,6.3,10.16,Greg McLean,John Gallagher Jr.,In a twisted social experiment 80 Americans are locked in their high-rise corporate office in Bogotá Colombia and ordered by an unknown voice coming from the company's intercom system to participate in a deadly game of kill or be killed.
12 Years a Slave,Biography,134,486338,8.1,56.67,Steve McQueen,Chiwetel Ejiofor,In the antebellum United States Solomon Northup a free black man from upstate New York is abducted and sold into slavery.
The Bad Batch,Romance,118,512,6.1,0.50,Ana Lily Amirpour,Keanu Reeves,A dystopian love story in a Texas wasteland and set in a community of cannibals.
300,Action,117,637104,7.7,210.59,Zack Snyder,Gerard Butler,King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.
Harry Potter and the Deathly Hallows: Part 2,Adventure,130,590595,8.1,380.96,David Yates,Daniel Radcliffe,Harry Ron and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.
Office Christmas Party,Comedy,105,30761,5.8,54.73,Josh Gordon,Jason Bateman,When his uptight CEO sister threatens to shut down his branch
The Neon Demon,Horror,118,50359,6.2,1.33,Nicolas Winding Refn,Elle Fanning,When aspiring model Jesse moves to Los Angeles her youth and vitality are devoured by a group of beauty-obsessed women who will take any means necessary to get what she has.
Dangal,Action,161,48969,8.8,11.15,Nitesh Tiwari,Aamir Khan,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.
10 Cloverfield Lane,Drama,104,192968,7.2,71.90,Dan Trachtenberg,John Goodman,After getting in a car accident a woman is held in a shelter with two men who claim the outside world is affected by a widespread chemical attack.
Finding Dory,Animation,97,157026,7.4,486.29,Andrew Stanton,Ellen DeGeneres,The friendly but forgetful blue tang fish Dory begins a search for her long-lost parents and everyone learns a few things about the real meaning of family along the way.
Miss Peregrine's Home for Peculiar Children,Adventure,127,101058,6.7,87.24,Tim Burton,Eva Green,When Jacob discovers clues to a mystery that stretches across time he finds Miss Peregrine's Home for Peculiar Children. But the danger deepens after he gets to know the residents and learns about their special powers.
Divergent,Adventure,139,362093,6.7,150.83,Neil Burger,Shailene Woodley,In a world divided by factions based on virtues Tris learns she's Divergent and won't fit in. When she discovers a plot to destroy Divergents Tris and the mysterious Four must find out what makes Divergents dangerous before it's too late.
Mike and Dave Need Wedding Dates,Adventure,98,53183,6.0,46.01,Jake Szymanski,Zac Efron,Two hard-partying brothers place an online ad to find the perfect dates for their sister's Hawaiian wedding. Hoping for a wild getaway the boys instead find themselves out-hustled by an uncontrollable duo.
Boyka: Undisputed IV,Action,86,10428,7.4,0.50,Todor Chapkanov,Scott Adkins,In the fourth installment of the fighting franchise
The Dark Knight Rises,Action,164,1222645,8.5,448.13,Christopher Nolan,Christian Bale,Eight years after the Joker's reign of anarchy the Dark Knight with the help of the enigmatic Selina is forced from his imposed exile to save Gotham City now on the edge of total annihilation from the brutal guerrilla terrorist Bane.
The Jungle Book,Adventure,106,198243,7.5,364.00,Jon Favreau,Neel Sethi,After a threat from the tiger Shere Khan forces him to flee the jungle a man-cub named Mowgli embarks on a journey of self discovery with the help of panther Bagheera and free spirited bear Baloo.
Transformers: Age of Extinction,Action,165,255483,5.7,245.43,Michael Bay,Mark Wahlberg,Autobots must escape sight from a bounty hunter who has taken control of the human serendipity: Unexpectedly Optimus Prime and his remaining gang turn to a mechanic his daughter and her back street racing boyfriend for help.
Nerve,Adventure,96,69651,6.6,38.56,Henry Joost,Emma Roberts,A high school senior finds herself immersed in an online game of truth or dare where her every move starts to become manipulated by an anonymous community of watchers.
Mamma Mia!,Comedy,108,153481,6.4,143.70,Phyllida Lloyd,Meryl Streep,The story of a bride-to-be trying to find her real father told using hit songs by the popular '70s group ABBA.
The Revenant,Adventure,156,499424,8.0,183.64,Alejandro González Iñárritu,Leonardo DiCaprio,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.
Fences,Drama,139,50953,7.3,57.64,Denzel Washington,Denzel Washington,A working-class African-American father tries to raise his family in the 1950s
Into the Woods,Adventure,125,109756,6.0,128.00,Rob Marshall,Anna Kendrick,A witch tasks a childless baker and his wife with procuring magical items from classic fairy tales to reverse the curse put on their family tree.
The Shallows,Drama,86,78328,6.4,55.12,Jaume Collet-Serra,Blake Lively,A mere 200 yards from shore surfer Nancy is attacked by a great white shark with her short journey to safety becoming the ultimate contest of wills.
Whiplash,Drama,107,477276,8.5,13.09,Damien Chazelle,Miles Teller,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.
Furious 6,Action,130,318051,7.1,238.67,Justin Lin,Vin Diesel,Hobbs has Dominic and Brian reassemble their crew to take down a team of mercenaries: Dominic unexpectedly gets convoluted also facing his presumed deceased girlfriend Letty.
The Place Beyond the Pines,Crime,140,200090,7.3,21.38,Derek Cianfrance,Ryan Gosling,A motorcycle stunt rider turns to robbing banks as a way to provide for his lover and their newborn child a decision that puts him on a collision course with an ambitious rookie cop navigating a department ruled by a corrupt detective.
No Country for Old Men,Crime,122,660286,8.1,74.27,Ethan Coen,Tommy Lee Jones,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.
The Great Gatsby,Drama,143,386102,7.3,144.81,Baz Luhrmann,Leonardo DiCaprio,A writer and wall street trader Nick finds himself drawn to the past and lifestyle of his millionaire neighbor Jay Gatsby.
Shutter Island,Mystery,138,855604,8.1,127.97,Martin Scorsese,Leonardo DiCaprio,In 1954 a U.S. marshal investigates the disappearance of a murderess who escaped from a hospital for the criminally insane.
Brimstone,Mystery,148,13004,7.1,0.50,Martin Koolhoven,Dakota Fanning,From the moment the new reverend climbs the pulpit Liz knows she and her family are in great danger.
Star Trek,Action,127,526324,8.0,257.70,J.J. Abrams,Chris Pine,The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time.
Diary of a Wimpy Kid,Comedy,94,34184,6.2,64.00,Thor Freudenthal,Zachary Gordon,The adventures of a teenager who is fresh out of elementary and transitions to middle school where he has to learn the consequences and responsibility to survive the year.
The Big Short,Biography,130,246360,7.8,70.24,Adam McKay,Christian Bale,Four denizens in the world of high-finance predict the credit and housing bubble collapse of the mid-2000s and decide to take on the big banks for their greed and lack of foresight.
Room,Drama,118,224132,8.2,14.68,Lenny Abrahamson,Brie Larson,A young boy is raised within the confines of a small shed.
Django Unchained,Drama,165,1039115,8.4,162.80,Quentin Tarantino,Jamie Foxx,With the help of a German bounty hunter  a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.
Ah-ga-ssi,Drama,144,33418,8.1,2.01,Chan-wook Park,Min-hee Kim,A woman is hired as a handmaiden to a Japanese heiress but secretly she is involved in a plot to defraud her.
The Edge of Seventeen,Comedy,104,47694,7.4,14.26,Kelly Fremon Craig,Hailee Steinfeld,High-school life gets even more unbearable for Nadine when her best friend Krista starts dating her older brother.
Watchmen,Action,162,410249,7.6,107.50,Zack Snyder,Jackie Earle Haley,In 1985 where former superheroes exist the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation uncovering something that could completely change the course of history as we know it.
Superbad,Comedy,113,442082,7.6,121.46,Greg Mottola,Michael Cera,Two co-dependent high school seniors are forced to deal with separation anxiety after their plan to stage a booze-soaked party goes awry.
Inferno,Action,121,97623,6.2,34.26,Ron Howard,Tom Hanks,When Robert Langdon wakes up in an Italian hospital with amnesia he teams up with Dr. Sienna Brooks and together they must race across Europe against the clock to foil a deadly global plot.
